Date,Draw,"Winning Numbers"
"January 24, 2023",2106815,"48 32 49 73 55 66 70 64 40 46 79 04 29 67 01 56 37 42 60 23 03"
"January 24, 2023",2106814,"52 43 33 29 31 75 69 64 55 45 35 07 71 80 70 41 40 48 14 60 01"
"January 24, 2023",2106813,"48 65 53 06 54 17 79 10 41 73 23 60 01 71 68 31 43 76 44 20 02"
"January 24, 2023",2106812,"04 74 72 16 50 06 49 80 73 37 53 38 48 23 29 24 20 01 78 68 01"
"January 24, 2023",2106811,"27 72 60 69 07 16 34 51 74 59 58 67 75 64 42 63 08 70 32 56 01"
"January 24, 2023",2106810,"27 61 11 06 28 09 51 64 32 30 08 44 10 46 40 68 76 21 65 74 01"
"January 24, 2023",2106809,"33 28 24 31 21 08 27 45 15 56 20 40 70 09 32 14 23 42 58 04 05"
"January 24, 2023",2106808,"71 23 76 52 57 28 61 09 58 59 68 01 36 78 69 50 48 29 62 74 02"
"January 24, 2023",2106807,"02 77 67 66 68 79 30 72 04 13 36 55 80 15 40 73 61 47 21 24 02"
"January 24, 2023",2106806,"04 80 50 68 36 58 27 79 63 17 60 65 78 14 55 10 18 59 26 71 01"
"January 24, 2023",2106805,"53 60 59 09 50 20 04 32 29 45 37 34 66 63 35 51 16 76 72 41 02"
"January 24, 2023",2106804,"08 10 31 21 55 58 52 22 48 02 04 42 20 37 30 50 03 32 73 43 01"
"January 24, 2023",2106803,"18 21 80 39 31 72 33 01 02 27 56 22 79 16 36 32 43 17 58 10 01"
"January 24, 2023",2106802,"13 75 19 30 64 08 10 79 06 25 22 29 18 41 54 36 46 35 27 63 01"
"January 24, 2023",2106801,"60 70 72 44 31 63 73 57 11 53 56 12 55 16 49 62 65 30 02 35 02"
"January 24, 2023",2106800,"19 25 51 13 39 24 36 11 58 49 79 60 15 74 29 26 09 76 75 46 01"
"January 24, 2023",2106799,"48 49 77 46 34 57 16 69 72 59 58 14 22 45 67 09 51 24 39 05 02"
"January 24, 2023",2106798,"66 60 54 10 41 72 33 65 64 32 29 63 30 20 51 44 15 52 08 28 02"
"January 24, 2023",2106797,"49 31 20 74 71 65 13 26 08 68 53 23 70 44 22 67 75 02 80 56 02"
"January 24, 2023",2106796,"50 76 49 15 01 40 38 24 70 10 28 03 46 53 51 04 12 59 08 45 01"
"January 24, 2023",2106795,"39 34 30 54 80 28 31 24 27 23 72 73 40 37 17 42 11 16 55 49 01"
"January 23, 2023",2106794,"60 02 12 39 23 50 46 24 47 45 77 52 07 67 20 58 72 15 27 28 01"
"January 23, 2023",2106793,"37 64 23 70 77 32 05 59 08 66 35 46 58 28 54 56 39 12 26 73 02"
"January 23, 2023",2106792,"68 28 59 71 63 73 40 52 45 02 56 33 18 09 79 24 20 31 03 51 01"
"January 23, 2023",2106791,"80 72 34 47 33 64 07 16 54 24 71 30 67 69 01 55 70 38 11 63 02"
"January 23, 2023",2106790,"29 45 67 79 70 14 21 33 35 40 55 44 42 12 13 16 04 27 08 32 01"
"January 23, 2023",2106789,"26 68 10 60 25 64 50 24 40 57 78 74 11 41 32 65 31 17 21 16 04"
"January 23, 2023",2106788,"39 53 80 37 46 52 59 47 27 57 60 03 32 22 21 69 04 65 66 77 02"
"January 23, 2023",2106787,"10 44 79 13 23 70 80 62 78 01 52 36 40 02 51 06 69 35 60 65 03"
"January 23, 2023",2106786,"36 31 29 48 14 15 67 72 50 21 13 03 66 40 74 78 24 04 49 05 02"
"January 23, 2023",2106785,"57 34 21 26 68 50 02 06 64 73 35 01 56 14 55 79 39 46 15 66 02"
"January 23, 2023",2106784,"63 48 65 36 77 50 19 25 33 12 18 60 80 46 15 70 57 44 51 62 02"
"January 23, 2023",2106783,"41 56 38 49 62 15 59 16 11 46 39 72 74 29 51 80 18 43 55 44 01"
"January 23, 2023",2106782,"25 58 56 78 38 12 73 65 23 76 11 08 55 30 24 52 18 54 36 21 01"
"January 23, 2023",2106781,"28 03 56 73 62 36 16 41 61 07 70 75 05 78 29 44 79 22 13 17 02"
"January 23, 2023",2106780,"60 12 52 19 26 10 28 68 53 42 24 62 06 27 54 36 21 33 34 37 04"
"January 23, 2023",2106779,"07 33 67 26 57 31 40 12 05 52 34 62 24 45 03 46 16 06 36 63 02"
"January 23, 2023",2106778,"52 65 04 63 25 80 68 76 32 37 18 66 51 57 12 11 79 15 78 39 01"
"January 23, 2023",2106777,"32 46 29 50 49 72 76 11 35 12 79 80 61 65 10 03 26 55 48 21 02"
"January 23, 2023",2106776,"02 43 62 33 14 75 47 40 35 54 08 13 38 23 06 19 18 24 78 56 01"
"January 23, 2023",2106775,"78 12 41 80 46 27 33 11 50 24 66 48 75 01 08 72 37 04 54 21 01"
"January 23, 2023",2106774,"25 65 28 16 06 64 51 56 77 78 37 27 54 26 20 55 40 02 17 18 04"
"January 23, 2023",2106773,"36 64 79 61 33 63 13 70 15 34 56 80 57 62 29 52 77 54 37 65 02"
"January 23, 2023",2106772,"13 33 53 48 50 27 21 05 37 54 07 02 80 31 17 51 29 74 28 60 01"
"January 23, 2023",2106771,"65 42 45 20 26 62 67 35 06 12 37 02 17 79 57 80 52 04 47 73 02"
"January 23, 2023",2106770,"10 67 33 34 38 49 79 74 62 18 14 63 22 12 29 24 54 66 46 23 01"
"January 23, 2023",2106769,"12 15 17 05 42 08 58 67 03 55 76 68 61 37 52 16 28 24 20 35 01"
"January 23, 2023",2106768,"60 04 52 22 40 65 51 36 48 44 33 26 41 05 50 39 71 75 24 14 05"
"January 23, 2023",2106767,"76 59 25 18 38 63 33 16 46 42 31 54 51 65 61 40 41 35 05 36 01"
"January 23, 2023",2106766,"51 54 61 62 33 13 37 64 11 47 09 27 21 67 45 02 35 39 80 78 10"
"January 23, 2023",2106765,"06 21 33 56 48 64 11 42 40 20 74 09 31 10 30 58 39 16 79 14 01"
"January 23, 2023",2106764,"58 08 44 79 17 59 27 76 78 67 52 74 24 31 56 61 13 06 25 33 01"
"January 23, 2023",2106763,"61 17 49 02 05 11 47 04 29 57 38 26 70 24 68 03 14 69 34 63 01"
"January 23, 2023",2106762,"45 57 09 10 37 08 03 26 25 53 38 50 27 29 33 70 67 40 35 69 01"
"January 23, 2023",2106761,"53 31 74 22 41 70 56 06 46 19 26 72 62 14 67 60 50 80 34 66 01"
"January 23, 2023",2106760,"21 24 23 20 77 72 45 05 47 41 53 04 09 68 11 46 29 13 64 38 01"
"January 23, 2023",2106759,"50 72 26 51 17 43 31 56 76 09 34 29 16 22 12 62 02 46 69 24 01"
"January 23, 2023",2106758,"56 30 80 33 43 29 26 37 38 39 24 54 25 01 04 13 64 59 28 18 01"
"January 23, 2023",2106757,"76 59 66 32 06 50 41 48 15 79 07 29 36 09 69 19 34 30 35 02 01"
"January 23, 2023",2106756,"61 08 28 55 18 64 41 37 62 34 78 45 14 33 25 06 51 44 30 77 02"
"January 23, 2023",2106755,"06 76 72 77 47 37 26 22 42 59 57 65 63 55 80 29 43 09 44 51 02"
"January 23, 2023",2106754,"50 14 12 48 34 52 36 01 22 32 17 59 21 10 56 62 27 23 24 31 02"
"January 23, 2023",2106753,"23 71 27 60 67 19 38 13 05 62 17 09 06 53 01 16 11 59 64 40 01"
"January 23, 2023",2106752,"59 67 37 29 47 45 64 78 66 58 80 46 51 33 21 79 68 16 08 71 01"
"January 23, 2023",2106751,"65 39 48 74 38 46 45 23 60 49 15 78 16 47 27 58 25 73 11 04 01"
"January 23, 2023",2106750,"79 06 49 12 36 63 50 46 70 29 13 26 34 61 57 20 22 02 77 37 03"
"January 23, 2023",2106749,"42 58 32 17 39 15 06 55 76 37 73 54 38 50 23 67 43 56 68 52 02"
"January 23, 2023",2106748,"67 71 57 06 08 19 69 46 74 50 51 68 79 54 35 70 23 09 04 22 02"
"January 23, 2023",2106747,"28 07 50 22 29 01 08 65 51 45 68 52 59 78 25 79 10 14 44 03 02"
"January 23, 2023",2106746,"26 38 58 05 66 07 08 56 39 14 10 17 49 77 02 67 36 31 37 62 02"
"January 23, 2023",2106745,"51 60 38 22 10 21 29 47 05 62 24 65 27 12 54 33 50 39 40 70 01"
"January 23, 2023",2106744,"51 58 76 68 59 70 48 18 45 25 78 64 21 53 75 33 56 60 42 06 02"
"January 23, 2023",2106743,"63 44 35 67 77 51 17 30 49 61 45 73 74 69 32 23 27 07 04 38 01"
"January 23, 2023",2106742,"26 47 76 59 22 71 15 18 48 78 74 66 29 43 27 77 61 46 80 44 01"
"January 23, 2023",2106741,"60 77 64 56 09 73 59 65 30 10 40 28 37 11 36 04 13 53 18 63 02"
"January 23, 2023",2106740,"79 08 17 47 55 35 56 53 10 41 60 32 68 80 71 65 73 16 39 12 01"
"January 23, 2023",2106739,"45 24 30 02 22 17 05 74 76 33 03 75 36 67 04 60 15 28 66 78 01"
"January 23, 2023",2106738,"29 33 30 69 66 25 51 44 14 72 68 28 24 76 60 05 53 18 73 41 02"
"January 23, 2023",2106737,"05 32 11 76 26 31 68 59 13 03 39 15 08 74 62 18 58 29 35 10 01"
"January 23, 2023",2106736,"15 32 51 04 80 23 79 45 57 25 52 40 34 63 49 08 30 46 76 71 02"
"January 23, 2023",2106735,"55 80 47 66 05 02 21 16 35 36 04 40 17 49 11 60 01 19 67 22 05"
"January 23, 2023",2106734,"44 11 07 63 65 31 72 51 61 75 69 62 03 50 70 56 42 15 28 73 02"
"January 23, 2023",2106733,"02 42 66 49 55 30 15 06 67 20 62 51 44 04 32 56 63 71 12 73 01"
"January 23, 2023",2106732,"32 63 21 14 46 77 51 39 59 43 11 34 44 31 23 07 03 80 64 37 10"
"January 23, 2023",2106731,"09 12 69 65 57 37 16 24 15 03 36 55 33 79 56 38 14 74 40 60 02"
"January 23, 2023",2106730,"47 76 49 48 75 69 79 45 43 51 13 19 32 61 67 26 66 15 24 68 02"
"January 23, 2023",2106729,"43 06 35 21 37 69 79 44 34 76 25 70 50 73 17 10 47 45 15 01 01"
"January 23, 2023",2106728,"31 32 22 46 34 59 04 20 57 08 71 13 64 72 66 28 26 11 53 03 01"
"January 23, 2023",2106727,"77 29 70 11 61 15 51 76 45 30 71 49 28 73 25 47 52 19 17 21 04"
