Draw Date,Draw Number,Draw Time,Winning Numbers,Extra
01/22/2023,2542675,01:40,02 06 07 08 12 16 18 19 20 25 29 50 55 61 63 65 71 72 73 75,10
01/22/2023,2542676,01:44,03 04 09 10 19 29 31 43 44 45 47 50 56 58 62 63 73 77 78 79,02
01/22/2023,2542677,01:48,04 06 09 18 20 24 25 32 37 42 50 52 53 56 58 63 67 74 75 79,02
01/22/2023,2542678,01:52,04 08 09 23 26 28 30 32 33 36 42 43 47 55 56 59 64 68 76 80,02
01/22/2023,2542679,01:56,03 05 07 09 10 16 28 34 41 45 52 53 62 63 65 69 70 74 76 77,01
01/22/2023,2542680,02:00,03 05 06 08 15 16 24 28 32 41 44 45 47 50 51 62 72 73 75 77,01
01/22/2023,2542681,02:04,01 02 04 05 11 15 16 19 24 35 40 45 46 54 56 57 58 64 77 80,01
01/22/2023,2542682,02:08,03 04 09 10 11 12 18 23 28 37 38 39 48 54 55 61 64 71 73 74,03
01/22/2023,2542683,02:12,05 07 15 17 18 19 22 29 32 37 39 40 45 48 52 53 54 59 61 67,01
01/22/2023,2542684,02:16,05 14 15 17 18 21 23 29 31 42 45 46 48 49 51 54 56 67 70 80,02
01/22/2023,2542685,02:20,02 05 11 13 14 15 26 27 31 42 48 49 55 68 69 74 75 76 78 80,01
01/22/2023,2542686,02:24,01 11 18 19 22 25 26 27 29 36 40 41 43 45 50 57 59 63 72 77,04
01/22/2023,2542687,02:28,06 08 09 14 21 28 37 38 40 41 44 49 54 55 58 60 61 72 77 80,01
01/22/2023,2542688,02:32,05 10 14 15 16 18 25 26 28 29 36 38 44 50 55 60 67 71 73 80,02
01/22/2023,2542689,02:36,07 08 14 21 22 25 31 42 44 47 56 57 58 60 62 68 70 75 77 78,02
01/22/2023,2542690,02:40,01 04 07 09 10 14 16 24 26 30 34 38 50 55 57 73 74 75 78 80,02
01/22/2023,2542691,02:44,02 04 09 14 18 27 32 39 41 48 50 53 54 55 59 60 61 65 73 76,02
01/22/2023,2542692,02:48,01 06 08 13 20 22 36 39 40 42 47 49 55 56 58 61 62 64 77 79,01
01/22/2023,2542693,02:52,01 10 13 14 16 33 36 38 39 41 42 44 49 50 54 62 65 70 71 76,02
01/22/2023,2542694,02:56,11 12 14 17 19 21 24 25 27 41 44 48 56 60 62 71 72 73 74 80,01
01/22/2023,2542695,03:00,01 03 04 08 10 13 18 26 31 46 53 58 59 65 67 70 73 75 76 80,01
01/22/2023,2542696,03:04,02 05 07 12 13 22 23 28 33 38 50 51 54 56 60 64 70 72 73 78,02
01/22/2023,2542697,03:08,04 07 09 14 17 24 27 31 36 37 39 41 48 57 59 60 68 76 79 80,05
01/22/2023,2542698,03:12,03 04 07 15 19 26 31 32 40 42 43 49 50 52 55 63 66 72 75 77,05
01/22/2023,2542699,03:16,02 06 14 23 31 32 36 38 42 48 51 59 60 62 64 65 70 73 79 80,03
01/22/2023,2542700,03:20,02 07 11 24 26 28 32 34 37 42 43 45 53 55 56 58 61 72 75 80,02
01/22/2023,2542701,03:24,03 08 17 21 24 26 31 33 35 37 47 53 56 57 58 63 66 67 68 80,01
01/22/2023,2542702,04:04,02 03 06 14 16 18 23 25 30 38 42 46 50 52 66 68 70 72 78 80,01
01/22/2023,2542703,04:08,06 07 08 13 21 23 30 32 33 35 38 55 56 58 59 60 61 66 69 76,02
01/22/2023,2542704,04:12,08 09 12 16 18 30 36 38 46 52 56 62 63 65 66 68 70 71 76 79,01
01/22/2023,2542705,04:16,06 08 13 18 19 20 21 27 29 35 37 39 44 47 48 54 70 71 73 77,03
01/22/2023,2542706,04:20,03 06 08 09 11 12 14 18 24 26 29 31 38 39 42 46 54 61 73 75,02
01/22/2023,2542707,04:24,09 12 13 14 17 20 23 24 27 30 38 40 41 53 57 59 63 67 71 80,02
01/22/2023,2542708,04:28,03 05 07 10 11 15 30 31 35 38 46 49 52 55 58 62 65 75 79 80,02
01/22/2023,2542709,04:32,02 03 08 10 26 33 34 36 43 44 45 47 49 50 52 56 70 72 75 78,01
01/22/2023,2542710,04:36,05 07 09 11 12 19 21 29 35 42 44 48 51 53 55 57 63 66 67 78,02
01/22/2023,2542711,04:40,02 08 13 15 19 27 31 32 37 40 43 48 49 54 65 66 67 68 73 79,01
01/22/2023,2542712,04:44,01 03 13 16 23 27 28 39 42 43 49 52 54 55 58 64 65 73 76 80,01
01/22/2023,2542713,04:48,02 09 12 22 26 27 28 31 36 37 43 45 47 51 53 54 57 60 75 80,01
01/22/2023,2542714,04:52,04 07 10 20 21 24 31 33 37 39 42 43 45 51 52 67 68 74 75 77,01
01/22/2023,2542715,04:56,03 04 06 08 11 13 15 17 23 25 29 30 31 36 44 48 54 69 71 72,01
01/22/2023,2542716,05:00,03 05 09 10 16 23 36 41 44 45 46 47 48 49 50 58 61 63 75 76,01
01/22/2023,2542717,05:04,02 03 04 06 13 18 19 21 26 30 35 47 50 54 55 58 65 66 70 75,01
01/22/2023,2542718,05:08,05 06 11 12 15 17 18 20 24 39 44 46 49 50 52 55 63 65 67 78,02
01/22/2023,2542719,05:12,09 12 14 20 21 24 25 27 32 35 39 45 51 53 61 64 66 69 73 80,01
01/22/2023,2542720,05:16,03 06 08 16 23 32 34 35 38 40 41 42 43 44 52 55 56 63 75 80,02
01/22/2023,2542721,05:20,06 09 11 12 18 20 21 22 25 27 43 52 54 56 61 69 70 71 76 78,01
01/22/2023,2542722,05:24,01 02 04 11 13 19 21 29 30 39 46 47 49 56 62 69 75 77 78 79,01
01/22/2023,2542723,05:28,01 04 08 09 14 21 25 26 30 33 36 37 40 51 60 71 72 73 74 78,01
01/22/2023,2542724,05:32,05 06 15 19 21 22 30 35 36 37 43 44 48 65 67 69 73 74 76 78,01
01/22/2023,2542725,05:36,03 05 06 16 27 30 31 34 37 38 42 43 45 48 51 53 58 62 65 76,02
01/22/2023,2542726,05:40,04 05 11 13 16 20 23 25 27 29 31 36 45 51 59 64 69 71 73 80,02
01/22/2023,2542727,05:44,09 12 15 18 20 22 28 31 33 41 44 59 60 62 63 69 73 76 77 79,10
01/22/2023,2542728,05:48,01 07 11 14 17 22 24 27 33 34 38 45 46 48 54 59 62 78 79 80,01
01/22/2023,2542729,05:52,03 10 14 15 18 20 27 28 29 31 33 53 54 55 56 64 67 70 76 77,01
01/22/2023,2542730,05:56,01 02 03 04 05 08 15 23 26 27 35 38 43 45 46 50 51 60 64 78,02
01/22/2023,2542731,06:00,05 06 16 22 23 33 35 41 44 50 51 52 54 58 61 70 71 74 77 79,05
01/22/2023,2542732,06:04,08 21 23 24 31 35 38 39 42 44 51 54 57 58 68 69 73 74 75 78,01
01/22/2023,2542733,06:08,04 06 07 12 20 22 25 27 31 39 42 46 59 62 63 64 69 70 78 79,03
01/22/2023,2542734,06:12,07 08 09 11 14 22 30 34 35 38 44 45 50 55 56 57 62 66 71 80,01
01/22/2023,2542735,06:16,04 06 20 22 27 29 30 32 33 39 41 44 48 54 61 65 66 72 73 75,03
01/22/2023,2542736,06:20,01 06 07 08 15 16 26 27 29 33 47 52 53 54 57 61 63 66 71 73,01
01/22/2023,2542737,06:24,05 06 11 22 29 30 32 37 38 48 50 51 52 54 63 68 71 72 75 78,03
01/22/2023,2542738,06:28,03 06 08 15 16 20 21 22 37 41 42 45 47 48 53 67 69 70 71 79,03
01/22/2023,2542739,06:32,04 05 08 13 21 23 42 43 44 46 47 49 50 51 60 63 67 68 75 76,02
01/22/2023,2542740,06:36,02 04 06 07 16 19 25 27 31 34 39 46 53 66 68 69 71 72 73 78,02
