GAME,DATE,TIME,DRAW NUMBER,NUMBERS,PLUS
"KENO 603","03/01/2022","06:40 PM","251372","02-03-14-17-20-21-27-46-48-50-56-61-64-65-66-69-70-73-79-80","1",
"KENO 603","03/01/2022","06:35 PM","251371","01-02-06-15-17-19-20-24-27-29-41-45-48-51-53-54-57-64-72-78","3",
"KENO 603","03/01/2022","06:30 PM","251370","02-05-07-14-16-21-23-25-30-31-35-38-39-48-54-55-59-62-65-68","3",
"KENO 603","03/01/2022","06:25 PM","251369","02-04-05-13-21-24-25-26-27-32-39-41-45-48-53-59-63-70-74-78","3",
"KENO 603","03/01/2022","06:20 PM","251368","06-07-11-14-16-17-25-31-32-33-37-41-48-53-57-59-60-62-73-78","1",
"KENO 603","03/01/2022","06:15 PM","251367","03-08-16-18-22-27-28-30-37-39-49-51-52-58-61-63-64-70-77-78","4",
"KENO 603","03/01/2022","06:10 PM","251366","06-07-10-13-17-21-23-24-25-29-42-43-45-47-57-66-67-72-73-76","3",
"KENO 603","03/01/2022","06:05 PM","251365","09-13-17-18-19-21-27-29-32-35-39-46-53-55-59-65-68-70-74-75","1",
"KENO 603","03/01/2022","06:00 PM","251364","01-02-17-21-24-28-35-36-38-44-45-49-52-56-61-68-70-73-76-78","3",
"KENO 603","03/01/2022","05:55 PM","251363","06-11-17-18-20-22-27-32-45-50-54-55-56-59-61-62-64-66-75-77","1",
"KENO 603","03/01/2022","05:50 PM","251362","03-05-09-19-20-22-25-27-28-35-46-47-51-57-59-63-64-68-71-78","1",
"KENO 603","03/01/2022","05:45 PM","251361","05-08-10-13-16-21-23-30-32-34-38-43-44-46-55-56-60-67-73-77","1",
"KENO 603","03/01/2022","05:40 PM","251360","06-08-15-19-22-27-30-37-39-40-49-52-54-58-59-74-75-76-79-80","1",
"KENO 603","03/01/2022","05:35 PM","251359","05-08-10-18-22-29-40-41-42-45-50-51-55-57-58-60-61-64-78-79","1",
"KENO 603","03/01/2022","05:30 PM","251358","04-07-11-12-14-18-22-24-31-32-35-37-45-53-57-59-62-64-65-78","1",
"KENO 603","03/01/2022","05:25 PM","251357","02-04-08-10-11-19-31-32-33-42-44-47-48-54-56-61-62-70-72-75","4",
"KENO 603","03/01/2022","05:20 PM","251356","01-02-06-07-12-23-32-33-34-39-49-58-59-61-63-64-73-76-77-80","4",
"KENO 603","03/01/2022","05:15 PM","251355","01-03-07-10-17-26-30-33-35-46-49-51-54-56-57-58-59-60-67-73","1",
"KENO 603","03/01/2022","05:10 PM","251354","06-09-15-19-21-33-34-38-41-42-43-44-47-51-52-55-58-70-75-77","1",
"KENO 603","03/01/2022","05:05 PM","251353","02-13-18-20-22-24-28-30-34-36-37-41-50-51-56-62-63-67-70-77","1",
"KENO 603","03/01/2022","05:00 PM","251352","07-08-09-14-18-24-30-34-41-42-43-53-54-61-62-64-66-69-71-79","3",
"KENO 603","03/01/2022","04:55 PM","251351","07-13-16-18-23-26-35-38-40-43-44-46-55-56-66-68-70-73-76-80","3",
"KENO 603","03/01/2022","04:50 PM","251350","05-06-13-14-23-28-36-38-44-48-50-52-56-58-59-68-73-76-77-80","1",
"KENO 603","03/01/2022","04:45 PM","251349","01-05-09-16-17-22-26-33-34-37-40-42-45-46-56-60-70-74-75-78","1",
"KENO 603","03/01/2022","04:40 PM","251348","04-14-16-20-30-32-34-36-39-40-44-46-52-63-65-67-75-76-77-78","3",
"KENO 603","03/01/2022","04:35 PM","251347","06-12-22-27-28-30-31-32-36-37-38-40-49-59-61-65-67-73-76-80","1",
"KENO 603","03/01/2022","04:30 PM","251346","04-08-10-12-13-17-20-22-25-26-29-48-51-54-55-60-67-71-73-75","3",
"KENO 603","03/01/2022","04:25 PM","251345","01-02-10-16-17-25-26-29-30-34-37-39-42-49-54-55-64-65-67-74","1",
"KENO 603","03/01/2022","04:20 PM","251344","02-05-19-24-25-31-32-37-38-44-55-59-62-63-64-65-67-69-77-80","3",
"KENO 603","03/01/2022","04:15 PM","251343","01-02-04-09-11-22-30-31-38-41-51-53-55-59-60-62-67-69-75-80","4",
"KENO 603","03/01/2022","04:10 PM","251342","05-07-08-13-18-19-25-26-28-32-36-47-51-56-61-64-67-68-74-80","3",
"KENO 603","03/01/2022","04:05 PM","251341","01-03-11-14-17-18-26-38-40-42-44-45-53-55-59-70-73-74-77-78","1",
"KENO 603","03/01/2022","04:00 PM","251340","02-03-04-05-10-12-14-24-26-27-33-35-43-50-54-60-65-75-78-80","1",
"KENO 603","03/01/2022","03:55 PM","251339","07-14-15-16-19-23-24-25-34-41-53-55-57-66-67-71-74-77-79-80","3",
"KENO 603","03/01/2022","03:50 PM","251338","02-06-09-12-19-22-26-29-33-35-39-40-45-52-54-55-60-74-75-79","1",
"KENO 603","03/01/2022","03:45 PM","251337","03-09-15-18-19-31-36-40-41-49-52-56-59-61-64-66-67-72-73-75","1",
"KENO 603","03/01/2022","03:40 PM","251336","04-10-14-18-25-26-27-36-39-45-47-49-59-61-62-63-66-68-70-75","1",
"KENO 603","03/01/2022","03:35 PM","251335","01-02-03-05-07-10-21-23-25-37-39-41-47-50-58-66-67-71-74-75","3",
"KENO 603","03/01/2022","03:30 PM","251334","05-10-13-14-15-17-24-26-28-29-31-32-36-41-47-50-52-62-69-74","3",
"KENO 603","03/01/2022","03:25 PM","251333","07-12-23-25-26-32-33-34-35-37-39-49-52-58-59-64-65-67-73-79","4",
"KENO 603","03/01/2022","03:20 PM","251332","01-08-13-22-25-27-32-33-38-47-49-52-56-60-61-66-67-70-73-76","4",
"KENO 603","03/01/2022","03:15 PM","251331","03-16-21-27-31-35-37-38-40-43-44-46-48-50-51-55-67-68-77-79","3",
"KENO 603","03/01/2022","03:10 PM","251330","02-03-25-30-34-43-45-46-49-54-56-58-61-62-66-69-70-71-74-75","1",
"KENO 603","03/01/2022","03:05 PM","251329","02-03-13-18-19-20-22-23-24-26-29-30-32-36-49-58-59-68-75-79","1",
"KENO 603","03/01/2022","03:00 PM","251328","06-23-25-27-32-34-35-36-38-45-47-49-51-54-65-66-69-73-74-76","4",
"KENO 603","03/01/2022","02:55 PM","251327","01-02-05-06-12-20-21-23-24-29-30-36-40-41-42-51-55-65-69-77","4",
"KENO 603","03/01/2022","02:50 PM","251326","06-07-10-15-23-28-30-31-33-41-42-47-50-52-54-57-62-63-64-68","1",
"KENO 603","03/01/2022","02:45 PM","251325","03-06-11-12-17-20-25-27-37-38-39-43-46-48-50-56-60-74-77-79","1",
"KENO 603","03/01/2022","02:40 PM","251324","03-06-11-13-14-19-20-36-37-39-41-44-45-55-56-59-68-69-74-77","3",
"KENO 603","03/01/2022","02:35 PM","251323","04-07-08-17-20-24-27-30-31-34-39-41-42-45-61-62-63-64-78-80","3",
"KENO 603","03/01/2022","02:30 PM","251322","03-08-10-11-14-17-23-37-39-44-49-51-54-62-63-66-69-70-78-79","1",
"KENO 603","03/01/2022","02:25 PM","251321","02-03-05-07-09-11-14-24-25-26-28-35-42-49-50-53-64-65-67-76","3",
"KENO 603","03/01/2022","02:20 PM","251320","11-17-19-20-33-34-35-39-40-43-44-45-52-56-57-63-64-65-66-71","1",
"KENO 603","03/01/2022","02:15 PM","251319","10-19-21-23-24-26-30-35-37-38-44-46-50-53-55-60-65-71-72-74","1",
"KENO 603","03/01/2022","02:10 PM","251318","02-07-17-18-23-42-50-52-53-54-55-59-63-66-68-69-70-75-77-79","3",
"KENO 603","03/01/2022","02:05 PM","251317","06-17-28-34-38-41-46-47-51-55-56-60-65-67-68-69-71-73-75-80","1",
"KENO 603","03/01/2022","02:00 PM","251316","04-06-09-12-15-18-22-28-35-37-42-55-60-61-65-68-70-71-73-74","1",
"KENO 603","03/01/2022","01:55 PM","251315","04-05-06-11-12-15-19-26-27-33-38-39-49-51-53-60-66-68-79-80","3",
"KENO 603","03/01/2022","01:50 PM","251314","05-06-07-09-16-20-22-24-26-30-31-35-41-42-50-51-57-61-64-73","3",
"KENO 603","03/01/2022","01:45 PM","251313","02-03-09-12-14-15-18-28-34-36-40-45-46-49-52-56-64-67-75-78","1",
"KENO 603","03/01/2022","01:40 PM","251312","02-03-11-19-21-27-31-33-35-37-40-46-48-49-51-53-61-67-72-73","3",
"KENO 603","03/01/2022","01:35 PM","251311","04-09-11-16-22-23-29-35-40-45-48-50-55-57-58-59-61-64-65-79","1",
"KENO 603","03/01/2022","01:30 PM","251310","09-19-23-33-34-35-39-46-49-51-55-56-57-58-62-63-65-70-76-77","1",
"KENO 603","03/01/2022","01:25 PM","251309","03-04-06-09-13-15-16-18-20-25-35-37-46-54-55-56-59-62-72-73","1",
"KENO 603","03/01/2022","01:20 PM","251308","01-03-12-18-23-29-36-39-45-46-56-61-62-63-69-70-73-74-76-78","3",
"KENO 603","03/01/2022","01:15 PM","251307","03-04-15-19-23-25-34-38-42-44-49-53-60-61-69-70-72-74-78-79","1",
"KENO 603","03/01/2022","01:10 PM","251306","01-07-11-14-16-30-40-42-43-49-59-62-63-64-65-67-73-75-77-78","3",
"KENO 603","03/01/2022","01:05 PM","251305","03-13-14-15-18-19-22-23-24-29-31-35-36-37-39-42-54-62-68-77","1",
